year,team,playerID,name,age,win,lose,WL,ERA,game,starter,closer,complete,shutout,save,outs,hit,run,ER,HR,BB,IBB,K,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,K9,KBB
1950,Chunichi Dragons,shimiz000hid,Hideo Shimizu*,31,9,5,0.643,4.2,22,20,0,6,1,-99999,360,138,64,56,5,48,-99999,34,1,0,3,528,1.55,10.4,0.4,3.6,2.6,0.71
1950,Chunichi Dragons,sugish000shi,Shigeru Sugishita,24,27,15,0.643,3.21,55,30,21,22,2,-99999,976.9999999999999,269,135,116,24,134,-99999,209,7,0,5,1361,1.237,7.4,0.7,3.7,5.8,1.56
1950,Chunichi Dragons,takemo000sug,Suguru Takemoto,24,0,0,-99999,27,1,0,0,0,0,-99999,3,3,3,3,0,3,-99999,1,0,0,0,9,6,27,0,27,9,0.33
1950,Daiei Stars,araoka000aki,Akira Araoka,19,0,0,-99999,15.43,3,0,2,0,0,-99999,14.000000000000002,9,8,8,1,3,-99999,3,1,0,0,25,2.571,17.4,1.9,5.8,5.8,1
1950,Daiei Stars,hayash000gii,Giichi Hayashi,30,18,11,0.621,2.4,42,27,14,20,5,-99999,763.9999999999999,214,89,68,16,88,-99999,158,6,1,0,1047,1.186,7.6,0.6,3.1,5.6,1.8
1950,Daiei Stars,himeno000yos,Yoshiharu Himeno,26,8,10,0.444,4.25,35,21,10,10,1,-99999,534,184,100,84,11,92,-99999,83,4,0,0,788,1.551,9.3,0.6,4.7,4.2,0.9
1950,Daiei Stars,ikeda-000zen,Zenzo Ikeda,26,8,4,0.667,3.81,17,9,6,4,1,-99999,269,77,44,38,6,43,-99999,33,2,0,4,380,1.338,7.7,0.6,4.3,3.3,0.77
1950,Daiei Stars,koba--000iwa,Iwao Koba,26,1,3,0.25,4.15,17,7,6,0,0,-99999,195,61,36,30,4,38,-99999,16,2,0,3,285,1.523,8.4,0.6,5.3,2.2,0.42
1950,Daiei Stars,ogawa-000yos,Yoshiharu Ogawa,26,12,8,0.6,3.64,29,21,6,13,1,-99999,562.9999999999999,189,81,76,10,61,-99999,50,0,0,2,791,1.332,9.1,0.5,2.9,2.4,0.82
1950,Daiei Stars,starfi000vic,Victor Starffin,34,11,15,0.423,3.96,35,28,6,17,2,-99999,703,270,115,103,21,48,-99999,86,4,1,1,995,1.357,10.4,0.8,1.8,3.3,1.79
