id,game,PA,AB,run,hit,single,double,triple,HR,RBI,steal,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
arai--000yos,67,28,26,3,5,5,0,0,0,3,0,0,1,9,0.19230769230769232,0.21428571428571427,0.19230769230769232,0.4065934065934066,5,2,0,1,0,0
arai--001kiy,139,244,205,25,37,25,8,2,2,9,0,2,29,38,0.18048780487804877,0.27983539094650206,0.2682926829268293,0.5481280738733314,55,5,2,7,1,4
arai--001nob,81,71,65,12,16,13,3,0,0,6,1,4,4,15,0.24615384615384617,0.3,0.2923076923076923,0.5923076923076923,19,2,1,0,1,0
arai--001ryo,630,1398,1253,140,298,200,57,1,40,151,5,2,114,319,0.237829209896249,0.30913012221423436,0.38068635275339185,0.6898164749676262,477,24,18,6,7,1
arai--001tak,2383,8799,7934,1054,2203,1475,387,22,319,1303,43,30,709,1693,0.27766574237459035,0.34216563431979813,0.45260902445172674,0.7947746587715249,3591,242,71,4,81,27
arai--001yuk,1042,3288,2893,343,782,565,145,17,55,276,34,20,308,299,0.2703076391289319,0.33771795656163967,0.3892153473902523,0.7269333039518919,1126,39,14,54,19,12
arai--002tak,31,10,10,2,2,2,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,2,1,0,0,0,0
arakak001nag,125,53,47,2,7,5,2,0,0,3,0,0,1,23,0.14893617021276595,0.1509433962264151,0.19148936170212766,0.3424327579285428,9,1,0,5,0,0
arakan001his,389,734,644,90,148,91,44,3,10,55,3,4,46,168,0.22981366459627328,0.3005464480874317,0.35403726708074534,0.654583715168177,228,7,26,16,2,0
arakaw000hir,802,2270,2005,207,503,374,100,13,16,172,20,10,229,134,0.25087281795511224,0.3275862068965517,0.3376558603491272,0.6652420672456789,677,49,9,19,NA,NA
arakaw000iwa,36,12,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
arakaw000sho,520,1861,1592,226,408,331,43,24,10,155,89,25,236,133,0.2562814070351759,0.34911242603550297,0.332286432160804,0.681398858196307,529,51,5,26,NA,NA
arakaw000shu,51,6,5,4,0,0,0,0,0,0,1,2,1,3,0,0.16666666666666666,0,0.16666666666666666,0,1,0,0,0,0
arakaw000soi,149,577,537,44,121,93,20,4,4,37,12,9,31,39,0.22532588454376165,0.265625,0.29981378026070765,0.5654387802607077,161,8,1,7,1,0
arakaw000tak,225,856,770,103,195,132,27,2,34,98,10,7,60,136,0.2532467532467532,0.30669800235017625,0.42597402597402595,0.7326720283242022,328,14,6,15,5,0
